Genre,Africa,Asia,Australia,Europe,North America,South America
Action,5.58%,11.99%,7.09%,2.64%,4.07%,2.20%
Adult,0.12%,0.03%,0.02%,0.46%,2.20%,0.38%
Adventure,3.09%,3.22%,3.09%,2.95%,2.76%,3.27%
Animation,0.12%,2.31%,1.97%,2.21%,4.45%,1.92%
Biography,0.95%,0.42%,0.62%,0.86%,0.72%,0.60%
Comedy,16.98%,11.76%,14.27%,18.72%,16.27%,18.19%
Crime,3.56%,4.16%,2.87%,4.40%,3.39%,3.75%
Documentary,2.73%,1.67%,3.24%,4.75%,4.47%,7.84%
Drama,29.45%,27.63%,27.05%,25.65%,17.14%,30.94%
Family,2.26%,5.35%,2.12%,2.13%,3.93%,3.59%
Fantasy,0.95%,2.67%,2.07%,2.04%,1.47%,1.83%
History,1.78%,0.88%,0.45%,0.87%,0.45%,0.57%
Horror,1.78%,2.78%,4.44%,2.85%,3.72%,2.46%
Music,1.07%,0.20%,0.45%,0.83%,0.91%,0.28%
Musical,3.68%,3.27%,0.97%,1.45%,1.83%,3.78%
Mystery,1.54%,1.42%,1.40%,1.70%,1.89%,1.23%
Romance,13.06%,10.20%,6.49%,4.90%,3.83%,4.12%
Sci-Fi,0.36%,1.81%,1.62%,1.35%,2.08%,0.76%
Short,3.80%,2.04%,11.30%,11.55%,14.85%,7.93%
Sport,0.24%,0.17%,0.37%,0.24%,0.65%,0.16%
Thriller,4.99%,4.32%,6.14%,4.63%,4.67%,3.62%
War,1.66%,1.62%,1.67%,1.85%,1.09%,0.35%
Western,0.24%,0.08%,0.27%,0.94%,2.67%,0.25%
